ID,shortName,longName,altName,relWeeks,relDays,feastRank,color,feastStation,feastInfo
A000,Advent I,First Sunday of Advent,,-21,0,sun1,purple,St. Mary Major,"The Roman Missal today begins the liturgical cycle. The Incarnation is the true central point which divides the course of the ages. By the period of preparation called Advent, the ages before Christ and leading us to His birth are recalled; following the feast of Christmas the great events in the life of Christ and the ages that lead toward the final judgment are kept in mind. The Missal, therefore, is logical and corresponds closely to this lofty concept of history, by which the Incarnation is made the true central event in the world's drama. The early Christians began their liturgical cycle with the festival of Christmas; the present arrangement came into use towards the middle of the fifth century. (Fr. Lasance Missal, 1630-31). TO ADD MORE LATER."
A010,Advent II,Second Sunday of Advent,,-20,0,sun2,purple,Holy Cross in Jerusalem,
A020,Gaudete Sunday,Third Sunday of Advent,,-19,0,sun2,rose,St. Peter's,
A030,Advent IV,Fourth Sunday of Advent,,-18,0,sun2,purple,Twelve Holy Apostles,
N040,,Sunday within the Octave of Christmas,,-17,0,sun3,white,,Celebrated on Dec. 30 if Christmas is on a Sunday
N050,Holy Name,Feast of the Holy Name,,-16,0,dbl2,white,,Celebrated on Jan. 2 if Christmas is on Sunday
E060,Holy Family,Feast of the Holy Family,,-15,0,dbl3,white,,
E060,,Sunday within the Octave of the Epiphany,,-15,0,dbl5,white,,
E070,II Epiphany,Second Sunday After the Epiphany,,-14,0,dbl5,green,St. Eusebius,
E080,III Epiphany,Third Sunday After the Epiphany,,-13,0,dbl5,green,,
E090,IV Epiphany,Fourth Sunday After the Epiphany,,-12,0,dbl5,green,,
E100,V Epiphany,Fifth Sunday After the Epiphany,,-11,0,dbl5,green,,
E110,VI Epiphany,Sixth Sunday After the Epiphany,,-10,0,dbl5,green,,
S120,,Septuagesima,,-9,0,sun2,purple,St. Lawrence Without the Walls,
S130,,Sexagesima,,-8,0,sun2,purple,St. Paul,
S140,,Quinquagesima,,-7,0,sun2,purple,St. Peter,
S143,Ash Weds.,Ash Wednesday,,-7,3,fer1,purple,St. Sabina,
Q144,Thurs. post Ash Weds.,Thursday after Ash Wednesday,,-7,4,fer2,purple,St. George in Velabro,
Q145,Fri. post Ash Weds.,Friday after Ash Wednesday,,-7,5,fer2,purple,Ss. John and Paul,
Q146,Sat. post Ash Weds.,Saturday after Ash Wednesday,,-7,6,fer2,purple,St. Tryphon,
Q150,Lent I,First Sunday of Lent,,-6,0,sun1,purple,St. John Lateran,
Q151,Mon. Lent I,Monday of the First Week of Lent,,-6,1,fer2,purple,St. Peter's Chains,
Q152,Tues. Lent I,Tuesday of the First Week of Lent,,-6,2,fer2,purple,St. Anastasia,
Q153,Ember Weds.,Ember Wednesday,Ember Wednesday of the First Week of Lent,-6,3,embm,purple,St. Mary Major,
Q154,Thurs. Lent I,Thursday of the First Week of Lent,,-6,4,fer2,purple,St. Lawrence's in Panisperna,
Q155,Ember Fri.,Ember Friday,Ember Friday of the First Week of Lent,-6,5,embm,purple,Twelve Holy Apostles,
Q156,Ember Sat.,Ember Saturday,Ember Saturday of the First Week of Lent,-6,6,embm,purple,St. Peter,
Q160,Lent II,Second Sunday of Lent,,-5,0,sun1,purple,St. Mary's in Dominica,
Q161,Mon. Lent II,Monday of the Second Week of Lent,,-5,1,fer2,purple,St. Clement,
Q162,Tues. Lent II,Tuesday of the Second Week of Lent,,-5,2,fer2,purple,St. Balbina,
